ID,Work Item Type,Title 1,Title 2,Title 3,Title 4,Description,State,Tags
,Epic,User Authentication,,,,,New,
,Feature,,Login,,,,New,
,Product Backlog Item,,,Login - Submit Login Details,,"<div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">What?</b></div><div style=""box-sizing:border-box;"">User will be logging in to the application with login credentials.&nbsp;</div><div style=""box-sizing:border-box;""><br></div><div style=""box-sizing:border-box;"">In case, the credentials are not valid, the user will be redirected to login page with valid message displayed for login attempt failure.</div><div style=""box-sizing:border-box;""><br></div><div style=""box-sizing:border-box;"">In case user is not having credentials, user will be able to register. Hence, a link will be given to re-direct the user to registration page.</div><div style=""box-sizing:border-box;""><br></div><div style=""box-sizing:border-box;"">In case of successful login attempt, user will be redirected to user specific home page.</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Why?</b></div><div style=""box-sizing:border-box;"">In order to access the application and features, the user will be logged in first.</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Where?</b></div><div style=""box-sizing:border-box;"">Login page.</div><div style=""box-sizing:border-box;""></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">When?</b></div><div style=""box-sizing:border-box;"">HeartiHealth\Sprint 1 - UAT</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Who?</b></div><div style=""box-sizing:border-box;"">All application users.</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">How?</b></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><div style=""font-weight:400;box-sizing:border-box;"">User will be able to fill credential details in following:</div><div style=""font-weight:400;box-sizing:border-box;""><ol style=""box-sizing:border-box;padding-left:40px;""><li style=""box-sizing:border-box;"">Email</li><li style=""box-sizing:border-box;"">Password</li></ol></div>User will be able to submit the details through</span><b style=""box-sizing:border-box;""> </b><span style=""box-sizing:border-box;"">&quot;Login&quot;</span><b style=""box-sizing:border-box;""> </b><span style=""box-sizing:border-box;"">button.</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">In case the user is not having the credentials, provide the following section with message &quot;Not Registered? Register Here&quot;. &quot;Register Here&quot; will work as link to redirect the user to registration page.</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">User will be given with a link named as &quot;Forgot Password&quot; to redirect the user to reset password page, in case user forgot the password.</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br></span></div><div style=""box-sizing:border-box;""><i><span style=""box-sizing:border-box;color:rgb(200, 38, 19);""><b>Rules:</b></span><span style=""box-sizing:border-box;color:rgb(200, 38, 19);""><b>​</b></span></i></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><b>UI Rules:</b></span></div><div style=""box-sizing:border-box;""><ol><li>Email field will be a text field with email only restriction.</li><li>Password field will be a text field with hide password with star(*) validation on typing.</li></ol><div>Login attempt failure message corresponding to related field: &quot;Incorrect Email/Password&quot;.</div><div><br></div><div><div style=""box-sizing:border-box;"">Format validation message corresponding to related field: &quot;Incorrect Email/Password Format&quot;.</div><div style=""box-sizing:border-box;""><br></div></div><span style=""box-sizing:border-box;""><b></b></span></div><div style=""box-sizing:border-box;""><b>PFA </b>wire frame for reference.</div><div style=""box-sizing:border-box;""><br></div><div style=""box-sizing:border-box;""><b>Data Rules:</b></div><div style=""box-sizing:border-box;""><ol><li>Email ID should be unique.</li><li>Password should contain special characters.</li></ol></div><div style=""box-sizing:border-box;""><b></b></div><br>",New,NR; STORY
,Task,,,,DEV - Analysis & Clarifications,,To Do,
,Task,,,,DEV - Design Login Form,<div><b>To Do:</b></div><div><ol><li>Design Login Form.</li><li>Design Sections and Areas.</li><li>Validate UI/UX rules.</li></ol></div>,To Do,
,Task,,,,DEV - Implementation,<div><b>To Do:</b></div><div><ol><li>Validating login fields w.r.t. format and data rules.</li><li>Implement submitting login details.</li><li>Implementing redirect to Registration Page.</li><li>Implementing redirect to Reset Password Screen.</li></ol></div>,To Do,
,Task,,,,DEV - Unit Testing,<div><b>To Do:</b></div><div><ol><li>Unit test login field validations.</li><li>Unit test submitting login details.</li><li>Unit test redirect to Registration Page.</li><li>Unit test redirect to Reset Password.</li></ol></div>,To Do,
,Task,,,,QA - Analysis & Clarifications,<div><b>To Do:</b></div><div><ol><li>Analyse requirements and impact.</li><li>Logging the clarifications/impediments.</li></ol></div>,To Do,
,Task,,,,QA - Write Test Cases,<div><b>To Do:</b></div><div><ol><li>Login form fields.</li><li>Login form validations.</li><li>Redirect to Registration page.</li><li>Redirect to Reset Password page.</li><li>UI/UX and Data rules.</li></ol></div>,To Do,
,Task,,,,QA - Execute Test Cases,"<div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">To Do:</b></div><div style=""box-sizing:border-box;""><ol style=""box-sizing:border-box;padding-left:40px;""><li style=""box-sizing:border-box;"">Execute for Login form fields.</li><li style=""box-sizing:border-box;""><span style=""display:inline !important;"">Execute for<span>&nbsp;</span></span>Login form validations.</li><li style=""box-sizing:border-box;""><span style=""display:inline !important;"">Execute for<span>&nbsp;</span></span>Redirect to Registration page.</li><li style=""box-sizing:border-box;""><span style=""display:inline !important;"">Execute for<span>&nbsp;</span></span>Redirect to Reset Password page.</li><li style=""box-sizing:border-box;""><span style=""display:inline !important;"">Execute for<span>&nbsp;</span></span>UI/UX and Data rules.</li></ol></div><br></div>",To Do,
,Impediment,,,,Is there any password length restriction?,"<div>Generally, passwords will have length restrictions.</div><div><br></div><div>If any restrictions related to length, what will be min and max password length restrictions?</div>",Open,
,Feature,,Logout,,,,New,
,Product Backlog Item,,,Logout - Submit Logout Request,,"<div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">What?</b></div><div style=""box-sizing:border-box;"">User can logout at any point while browsing through the application.</div><div style=""box-sizing:border-box;""><br></div><div style=""box-sizing:border-box;"">Once the user logs out of the application, he/she will be redirected to the login page.</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Why?</b></div><div style=""box-sizing:border-box;"">Once user is finished browsing the application, he/she can logout in order to release the access from the portal.</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Where?</b></div><div style=""box-sizing:border-box;"">Top right corner of Navigation Bar.</div><div style=""box-sizing:border-box;""></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">When?</b></div><div style=""box-sizing:border-box;"">HeartiHealth\Sprint 1 - UAT</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Who?</b></div><div style=""box-sizing:border-box;"">All application users.</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">How?</b></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">User will be able to logout from the application with a &quot;Logout&quot; button given at top right corner of navigation bar.</div></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span></div><div style=""box-sizing:border-box;""><i style=""box-sizing:border-box;""><span style=""box-sizing:border-box;color:rgb(200, 38, 19);""><b style=""box-sizing:border-box;"">Rules:</b></span><span style=""box-sizing:border-box;color:rgb(200, 38, 19);""><b style=""box-sizing:border-box;"">​</b></span></i></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">UI Rules:</b></span></div><div style=""box-sizing:border-box;"">User should have access to the &quot;Logout&quot; button at any point of time, while browsing through the application.<br><div style=""box-sizing:border-box;""><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></div></div><span style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""></b></span></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">PFA<span>&nbsp;</span></b>wire frame for reference.</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""></b></div><br><br>",New,NR; STORY
,Feature,,Registration,,,,New,
,Product Backlog Item,,,Registration - Submit Registration Details,,"<div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">What?</b></div><div style=""box-sizing:border-box;"">User will register into the application with given set of fields to save user details.</div><div style=""box-sizing:border-box;""><br></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Why?</b></div><div style=""box-sizing:border-box;"">In case user will not have the login credentials, the user will submit the personal details and have the credentials created.</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Where?</b></div><div style=""box-sizing:border-box;"">From Login Page</div><div style=""box-sizing:border-box;""></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">When?</b></div><div style=""box-sizing:border-box;"">HeartiHealth\Sprint 1 - UAT</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Who?</b></div><div style=""box-sizing:border-box;"">All application users.</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">How?</b></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">User will be able to fill following details:</div><div style=""box-sizing:border-box;""><ol><li><span style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">Email&nbsp;</div></span></li><li><div style=""box-sizing:border-box;"">User Name</div></li><li><div style=""box-sizing:border-box;"">Password</div></li><li><div style=""box-sizing:border-box;"">Re-enter Password</div></li></ol><div>User will be able to submit the details with &quot;Register&quot; button. Once successful submission, user should be redirected to Login Page.</div><div><br></div><div>In case the user is having login credentials, a section with message &quot;Already Registered? Log In Now&quot;. &quot;Log In Now&quot; will work as link, redirecting user to Login Screen.</div></div><div style=""box-sizing:border-box;""></div></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span></div><div style=""box-sizing:border-box;""><i style=""box-sizing:border-box;""><span style=""box-sizing:border-box;color:rgb(200, 38, 19);""><b style=""box-sizing:border-box;"">Rules:</b></span><span style=""box-sizing:border-box;color:rgb(200, 38, 19);""><b style=""box-sizing:border-box;"">​</b></span></i></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">UI Rules:</b></span></div><div style=""box-sizing:border-box;""><ol style=""box-sizing:border-box;padding-left:40px;""><li style=""box-sizing:border-box;"">Email field will be a text field with email only restriction.</li><li style=""box-sizing:border-box;"">User Name should be a text field, without any special characters.</li><li style=""box-sizing:border-box;"">Password/Re-enter Password field will be a text field with hide password with star(*) validation on typing.</li></ol><div style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">Format validation message corresponding to related field: &quot;Incorrect Email/Password Format&quot;.</div><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></div></div><span style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""></b></span></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">PFA<span>&nbsp;</span></b>wire frame for reference.</div><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Data Rules:</b></div><div style=""box-sizing:border-box;""><ol style=""box-sizing:border-box;padding-left:40px;""><li style=""box-sizing:border-box;"">Email ID should be unique.</li><li style=""box-sizing:border-box;"">Username should be unique and&nbsp;<span style=""display:inline !important;"">should not contain special characters.</span></li><li style=""box-sizing:border-box;"">Password should contain special characters.</li></ol></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""></b></div><br><br>",New,NR; STORY
,Product Backlog Item,,,Registration - Email Notification on Registration Confirmation,,"<div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">What?</b></div><div style=""box-sizing:border-box;"">User will receive an email notification after successfully registering into the application.</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Why?</b></div><div style=""box-sizing:border-box;"">In order to notify user with registered email with the login credentials.</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Where?</b></div><div style=""box-sizing:border-box;"">Registration Screen</div><div style=""box-sizing:border-box;""></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">When?</b></div><div style=""box-sizing:border-box;"">HeartiHealth\Sprint 1 - UAT</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Who?</b></div><div style=""box-sizing:border-box;"">All application users.</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">How?</b></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">Once the user clicks &quot;Register&quot; from registration screen and the details are successfully saved into the system, an email notification will be sent to user with registered email ID.</div><div style=""box-sizing:border-box;""><br></div><div style=""box-sizing:border-box;""><div style=""box-sizing:border-box;""><i style=""box-sizing:border-box;""><span style=""box-sizing:border-box;color:rgb(200, 38, 19);""><b style=""box-sizing:border-box;"">Rules:</b></span><span style=""box-sizing:border-box;color:rgb(200, 38, 19);""><b style=""box-sizing:border-box;"">​</b></span></i></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">UI Rules:</b></span></div></div><div style=""box-sizing:border-box;""><br></div><div style=""box-sizing:border-box;""><span style=""color:rgb(200, 38, 19);"">Email Subject: </span>Hearti Health Credentials</div><div style=""box-sizing:border-box;""><br></div><div style=""box-sizing:border-box;""><span style=""color:rgb(200, 38, 19);"">Email Format:</span></div><div style=""box-sizing:border-box;""><i><br></i></div><div style=""box-sizing:border-box;""><span><i>Hi &lt;Username&gt;,<br></i></span><div><i><br></i></div><div><i>Greetings!<br></i></div><div><i><br></i></div><div><i>An account for your email ID is created, below are your credentials:</i></div><div><i><br></i></div><div><i>Username: &lt;Username&gt;<br></i></div><div><i><br></i></div><div><i>Password: &lt;Password&gt;<br></i></div><div><i><br></i></div><div><i>URL: &nbsp;&lt;Application URL&gt;<br></i></div><div><i><br></i></div><div><i><span>Contact Information: &lt;Contact Number&gt;</span><span>&nbsp;</span></i></div></div><div style=""box-sizing:border-box;""><span><i><br></i></span></div><div style=""box-sizing:border-box;""><i><span>Kindly, reach out to &lt;Support email id&gt; &nbsp;in case of any queries.</span><br></i></div><div style=""box-sizing:border-box;""><span><i><br></i></span></div><div style=""box-sizing:border-box;""><span><i>Stay Fit! Stay Healthy!</i></span></div><div style=""box-sizing:border-box;""><span><i><br></i></span></div><div style=""box-sizing:border-box;""><span><i>Regards,</i></span></div><div style=""box-sizing:border-box;""><span><i>Hearti Health Team</i></span></div></span></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""></b></div><br><div><b>Data Rules:</b></div><div><ol><li>Registration information should be saved successfully.</li><li>Valid email ID should be used for email notification.</li></ol></div>",New,NR; STORY
,Task,,,,DEV - Analysis & Clarifications,<div><b>To Do:</b></div><div><ol><li>Analyse requirements and impact on the system.</li><li>Logging clarifications/impediments.</li></ol></div>,To Do,
,Task,,,,DEV - Implementation,<div><b>To Do:</b></div><div><ol><li>Configure Email Template.</li><li>Program Email Notification from the application.</li></ol></div>,To Do,
,Task,,,,DEV - Unit Testing,<div><b>To Do:</b></div><div><ol><li>Unit Test Email Template.</li><li>Unit Test Email Sending Code.</li></ol></div>,To Do,
,Impediment,,,,What will be the email ID for sending the email notifications?,<div>What will be the email ID from which the email notifications will be sent to the users?</div>,Open,
,Task,,,,QA - Analysis & Clarifications,<div>To Do:</div><div><ol><li>Analyse the requirements and impact on the application.</li><li>Logging the clarifications/impediments.</li></ol></div>,To Do,
,Task,,,,QA - Write Test Cases,<div><b>To Do:</b></div><div><ol><li>Test cases for email template.</li><li>Test cases for the email sending from the application.</li></ol></div>,To Do,
,Task,,,,QA - Execute Test Cases,<div><b>To Do:</b></div><div><ol><li>Execute email template related test cases.</li><li>Execute email flow related test cases.</li></ol></div>,To Do,
,Feature,,Reset Password,,,,New,
,Product Backlog Item,,,Reset Password - Submit Reset Password Details,,,New,NR; STORY
,Product Backlog Item,,,Reset Password - Email Notification on Password Reset,,,New,NR; STORY
,Epic,Dashboard,,,,,New,
,Feature,,Live Reports,,,,New,
,Product Backlog Item,,,Live Reports - View Today's Prediction,,,New,NR; STORY
,Product Backlog Item,,,Live Reports - Filter Today's Prediction by different Parameters,,,New,NR; STORY
,Feature,,Overall Reports,,,,New,
,Product Backlog Item,,,Overall Reports - View Total Predictions,,,New,NR; STORY
,Product Backlog Item,,,Overall Reports - Heart Attacks Cured,,,New,NR; STORY
,Product Backlog Item,,,Overall Report - Filter Total Prediction by different Parameters,,,New,NR; STORY
,Epic,Health Predictor,,,,,New,
,Feature,,Heart Health Predictor,,,,New,
